127.0.0.1 - - [20/Jul/2023:09:43:37 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:43:39 +0900] "GET /jQuery_Ajax/jquery/ex16_DOM.jsp HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:43:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:44:06 +0900] "GET /jQuery_Ajax/jquery/ex16_DOM.jsp HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:54:36 +0900] "GET /jQuery_Ajax/jquery/ex17_DOM.jsp HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:55:56 +0900] "GET /jQuery_Ajax/jquery/ex17_DOM.jsp HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:57:01 +0900] "GET /jQuery_Ajax/jquery/ex17_DOM.jsp HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:57:02 +0900] "GET /jQuery_Ajax/jquery/ex17_DOM.jsp HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:57:03 +0900] "GET /jQuery_Ajax/jquery/ex17_DOM.jsp HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:57:21 +0900] "GET /jQuery_Ajax/jquery/ex17_DOM.jsp HTTP/1.1" 200 690
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:57:33 +0900] "GET /jQuery_Ajax/jquery/ex17_DOM.jsp HTTP/1.1" 200 691
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:58:25 +0900] "GET /jQuery_Ajax/jquery/ex17_DOM.jsp HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:01:46 +0900] "GET /jQuery_Ajax/jquery/ex17_DOM.jsp HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:06:44 +0900] "GET /jQuery_Ajax/jquery/ex17_DOM.jsp HTTP/1.1" 200 1125
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:07:00 +0900] "GET /jQuery_Ajax/jquery/ex17_DOM.jsp HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:07:00 +0900] "GET /jQuery_Ajax/jquery/ex17_DOM.jsp HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:07:16 +0900] "GET /jQuery_Ajax/jquery/ex17_DOM.jsp HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:07:16 +0900] "GET /jQuery_Ajax/jquery/ex17_DOM.jsp HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:17:45 +0900] "GET /jQuery_Ajax/jquery/ex18_DOM.jsp HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:18:31 +0900] "GET /jQuery_Ajax/jquery/ex18_DOM.jsp HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:18:31 +0900] "GET /jQuery_Ajax/jquery/ex18_DOM.jsp HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:18:32 +0900] "GET /jQuery_Ajax/jquery/ex18_DOM.jsp HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:19:11 +0900] "GET /jQuery_Ajax/jquery/ex18_DOM.jsp HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:19:33 +0900] "GET /jQuery_Ajax/jquery/ex18_DOM.jsp HTTP/1.1" 200 1194
